index,code,unit,statisticalUnit,description
0,ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
1,KS101EW0001,Count,Person,All categories: Sex
2,KS101EW0002,Count,Person,Males
3,KS101EW0003,Count,Person,Females
4,KS101EW0004,Count,Person,Lives in a household
5,KS101EW0005,Count,Person,Lives in a communal establishment
6,KS101EW0006,Count,Person,Schoolchild or full-time student aged 4 and over at their non term-time address
7,KS101EW0007,Sum,Area (Hectares),Area hectares
8,KS101EW0008,Ratio,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Density (number of persons per hectare)
9,KS101EW0009,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Males
10,KS101EW0010,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Females
11,KS101EW0011,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Lives in a household
12,KS101EW0012,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Lives in a communal establishment
13,KS102EW0001,Count,Person,All categories: Age
14,KS102EW0002,Count,Person,Age 0 to 4
15,KS102EW0003,Count,Person,Age 5 to 7
16,KS102EW0004,Count,Person,Age 8 to 9
17,KS102EW0005,Count,Person,Age 10 to 14
18,KS102EW0006,Count,Person,Age 15
19,KS102EW0007,Count,Person,Age 16 to 17
20,KS102EW0008,Count,Person,Age 18 to 19
21,KS102EW0009,Count,Person,Age 20 to 24
22,KS102EW0010,Count,Person,Age 25 to 29
23,KS102EW0011,Count,Person,Age 30 to 44
24,KS102EW0012,Count,Person,Age 45 to 59
25,KS102EW0013,Count,Person,Age 60 to 64
26,KS102EW0014,Count,Person,Age 65 to 74
27,KS102EW0015,Count,Person,Age 75 to 84
28,KS102EW0016,Count,Person,Age 85 to 89
